08:48:20.791 -> Enter current location (##): 7
08:48:22.366 -> Enter current direction: WEST
08:48:23.875 -> Enter a destination: 2
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 North -> 1 North -> NA
08:48:26.442 -> Result: 7 West -> 0 North -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 South -> 2 South -> NA
08:48:26.442 -> Result: 7 West -> 0 South -> 2 South -> NA
08:48:26.442 -> MOVING West Turning West
08:48:26.442 -> Setting turn
08:48:26.442 -> Setting speed
08:48:26.442 -> Set Speeed
08:49:08.257 -> Front: 2792   |   RIGHT OFFSET: -30
08:49:08.522 -> Front: 2835   |   RIGHT OFFSET: -9
08:49:08.820 -> Front: 3640   |   RIGHT OFFSET: -13
08:49:09.072 -> Front: 2642   |   RIGHT OFFSET: -10
08:49:09.343 -> Front: 2516   |   RIGHT OFFSET: -9
08:49:09.642 -> Front: 2323   |   RIGHT OFFSET: -8
08:49:09.916 -> Front: 2221   |   RIGHT OFFSET: -6
08:49:10.205 -> Front: 2142   |   RIGHT OFFSET: -4
08:49:10.480 -> Front: 2044   |   RIGHT OFFSET: -2
08:49:10.755 -> Front: 1977   |   RIGHT OFFSET: 0
08:49:11.031 -> Front: 1999   |   RIGHT OFFSET: 0
08:49:11.340 -> Front: 2024   |   RIGHT OFFSET: 0
08:49:11.619 -> Front: 2047   |   RIGHT OFFSET: 0
08:49:11.866 -> Front: 2012   |   RIGHT OFFSET: 2
08:49:12.142 -> Front: 2026   |   RIGHT OFFSET: 2
08:49:12.460 -> Front: 2124   |   RIGHT OFFSET: 2
08:49:12.727 -> Front: 2234   |   RIGHT OFFSET: 2
08:49:13.012 -> Front: 2365   |   RIGHT OFFSET: 1
08:49:13.255 -> Front: 2466   |   RIGHT OFFSET: 0
08:49:13.539 -> Front: 2453   |   RIGHT OFFSET: 1
08:49:13.822 -> Front: 2462   |   RIGHT OFFSET: 0
08:49:14.117 -> Front: 2510   |   RIGHT OFFSET: -1
08:49:14.405 -> Front: 2682   |   RIGHT OFFSET: -2
08:49:14.672 -> Front: 2770   |   RIGHT OFFSET: -4
08:49:14.947 -> Front: 2833   |   RIGHT OFFSET: -6
08:49:15.237 -> Front: 2867   |   RIGHT OFFSET: -8
08:49:15.499 -> Front: 2865   |   RIGHT OFFSET: -30
08:49:15.802 -> Front: 2893   |   RIGHT OFFSET: -9
08:49:16.056 -> Front: 2817   |   RIGHT OFFSET: -30
08:49:16.357 -> Front: 2649   |   RIGHT OFFSET: -30
08:49:16.640 -> Front: 2510   |   RIGHT OFFSET: -10
